15:40:47.806 Connecting to WIFLEN ...
15:40:48.915 Connected
15:40:52.971 33.46 ,908.1864 ,69.32 ,36.42 ,908.2620 ,78.51
15:40:53.012 33.46 ,908.1864 ,69.32 ,36.42 ,908.2620 ,78.51
15:40:53.018 33.46 ,908.1864 ,69.32 ,36.45 ,908.2500 ,78.62
15:40:53.056 33.48 ,908.2099 ,69.77 ,36.45 ,908.2500 ,78.62
15:40:53.096 33.48 ,908.2099 ,69.77 ,36.45 ,908.2500 ,78.62
15:40:53.130 33.48 ,908.2099 ,69.77 ,36.49 ,908.2573 ,78.69
15:40:53.175 33.48 ,908.1997 ,70.16 ,36.49 ,908.2573 ,78.69
15:40:53.184 33.50 ,908.1997 ,70.16 ,36.49 ,908.2573 ,78.69
15:40:53.216 33.50 ,908.1997 ,70.16 ,36.49 ,908.2573 ,78.69
15:40:53.246 33.50 ,908.1997 ,70.16 ,36.52 ,908.2772 ,78.74
15:40:53.254 33.52 ,908.1947 ,70.51 ,36.52 ,908.2772 ,78.74
15:40:53.286 33.52 ,908.1947 ,70.51 ,36.52 ,908.2772 ,78.74
15:40:53.319 33.52 ,908.1947 ,70.51 ,36.52 ,908.2772 ,78.74
15:40:53.330 33.52 ,908.1947 ,70.51 ,36.55 ,908.2425 ,78.76
15:40:53.360 33.54 ,908.1934 ,70.73 ,36.55 ,908.2425 ,78.76
15:40:53.402 33.54 ,908.1934 ,70.73 ,36.55 ,908.2425 ,78.76
15:40:53.409 33.54 ,908.1934 ,70.73 ,36.57 ,908.2795 ,78.72
15:40:53.441 33.55 ,908.1548 ,71.09 ,36.57 ,908.2795 ,78.72
15:40:53.500 33.55 ,908.1548 ,71.09 ,36.57 ,908.2795 ,78.72
15:40:53.569 33.55 ,908.1548 ,71.09 ,36.57 ,908.2795 ,78.71
15:40:53.662 33.55 ,908.1746 ,70.34 ,36.60 ,908.2743 ,78.71
15:40:53.688 33.57 ,908.1746 ,70.34 ,36.60 ,908.2743 ,78.71
15:40:53.785 33.57 ,908.1746 ,70.34 ,36.61 ,908.2413 ,78.41
15:40:53.792 33.53 ,908.2147 ,66.92 ,36.60 ,908.2606 ,78.11
15:40:53.801 33.53 ,908.2147 ,66.92 ,36.60 ,908.2606 ,77.79
15:40:53.834 33.47 ,908.1953 ,65.75 ,36.57 ,908.2708 ,77.79
15:40:53.875 33.47 ,908.1953 ,65.75 ,36.57 ,908.2708 ,77.79
15:40:53.882 33.47 ,908.1953 ,65.75 ,36.57 ,908.2708 ,77.79
15:40:53.915 33.47 ,908.1953 ,65.75 ,36.57 ,908.2936 ,77.56
15:40:53.965 33.41 ,908.1942 ,64.46 ,36.52 ,908.2299 ,77.56
15:40:53.971 33.41 ,908.1942 ,64.46 ,36.52 ,908.2299 ,77.56
15:40:54.008 33.41 ,908.1942 ,64.46 ,36.52 ,908.2299 ,77.56
15:40:54.048 33.41 ,908.1942 ,62.99 ,36.49 ,908.2311 ,77.36
15:40:54.055 33.37 ,908.1754 ,62.99 ,36.49 ,908.2311 ,77.36
15:40:54.091 33.37 ,908.1754 ,62.99 ,36.49 ,908.2311 ,77.36
15:40:54.135 33.37 ,908.1754 ,62.99 ,36.49 ,908.2311 ,77.36
15:40:54.140 33.32 ,908.1655 ,61.66 ,36.44 ,908.2342 ,77.22
15:40:54.175 33.32 ,908.1655 ,61.66 ,36.44 ,908.2342 ,77.22
15:40:54.212 33.32 ,908.1655 ,61.66 ,36.44 ,908.2342 ,77.22
15:40:54.217 33.32 ,908.1655 ,60.36 ,36.41 ,908.2637 ,76.91
15:40:54.253 33.28 ,908.1486 ,60.36 ,36.41 ,908.2637 ,76.91
15:40:54.291 33.28 ,908.1486 ,60.36 ,36.41 ,908.2637 ,76.91
15:40:54.296 33.28 ,908.1486 ,60.36 ,36.37 ,908.2827 ,76.64
15:40:54.332 33.26 ,908.1624 ,59.08 ,36.37 ,908.2827 ,76.64
15:40:54.373 33.26 ,908.1624 ,59.08 ,36.37 ,908.2827 ,76.64
15:40:54.379 33.26 ,908.1624 ,59.08 ,36.37 ,908.2827 ,76.64
15:40:54.415 33.26 ,908.1624 ,58.54 ,36.31 ,908.2155 ,76.23
15:40:54.457 33.23 ,908.1828 ,58.54 ,36.31 ,908.2155 ,76.23
15:40:54.463 33.23 ,908.1828 ,58.54 ,36.31 ,908.2155 ,76.23
15:40:54.499 33.23 ,908.1828 ,58.54 ,36.31 ,908.2155 ,76.23
15:40:54.544 33.22 ,908.1490 ,59.71 ,36.28 ,908.2642 ,76.08
15:40:54.548 33.22 ,908.1490 ,59.71 ,36.28 ,908.2642 ,76.08
15:40:54.585 33.22 ,908.1490 ,59.71 ,36.28 ,908.2642 ,76.08
15:40:54.628 33.22 ,908.1490 ,59.71 ,36.28 ,908.2642 ,76.08
15:40:54.633 33.23 ,908.1086 ,61.11 ,36.24 ,908.2442 ,76.07
15:40:54.670 33.23 ,908.1086 ,61.11 ,36.24 ,908.2442 ,76.07
15:40:54.712 33.23 ,908.1086 ,61.11 ,36.24 ,908.2442 ,76.07
15:40:54.717 33.23 ,908.1086 ,62.26 ,36.19 ,908.2806 ,76.14
15:40:54.754 33.28 ,908.0990 ,62.26 ,36.19 ,908.2806 ,76.14
15:40:54.800 33.28 ,908.0990 ,62.26 ,36.19 ,908.2806 ,76.14
15:40:54.805 33.28 ,908.0990 ,63.23 ,36.13 ,908.2589 ,76.13
15:40:54.838 33.33 ,908.1072 ,63.23 ,36.13 ,908.2589 ,76.13
15:40:54.902 33.33 ,908.1072 ,63.23 ,36.13 ,908.2589 ,76.13
15:40:54.907 33.33 ,908.4305 ,63.90 ,36.09 ,908.1763 ,76.19
15:40:54.945 33.39 ,908.4305 ,63.90 ,36.09 ,908.1763 ,76.19
15:40:55.089 33.39 ,908.4305 ,63.90 ,36.09 ,908.1763 ,76.19
15:40:55.113 33.43 ,909.2479 ,64.46 ,36.06 ,908.0586 ,76.23
15:40:55.125 33.49 ,909.8298 ,64.95 ,36.03 ,908.1562 ,76.21
15:40:55.156 33.49 ,909.8298 ,64.95 ,36.03 ,908.1562 ,76.21
15:40:55.190 33.49 ,909.8298 ,64.95 ,36.03 ,908.1562 ,76.21
15:40:55.197 33.49 ,909.8298 ,64.95 ,36.03 ,907.9952 ,76.22
15:40:55.230 33.54 ,910.1834 ,65.39 ,36.03 ,907.9952 ,76.22
15:40:55.259 33.54 ,910.1834 ,65.39 ,36.03 ,907.9952 ,76.22
15:40:55.266 33.54 ,910.1834 ,65.39 ,36.03 ,907.9952 ,76.22
15:40:55.299 33.59 ,910.4856 ,65.65 ,36.03 ,907.9952 ,76.22
15:40:55.346 33.59 ,910.4856 ,65.65 ,36.02 ,907.9636 ,76.22
15:40:55.353 33.59 ,910.4856 ,65.65 ,36.02 ,907.9636 ,76.22
15:40:55.387 33.59 ,910.4856 ,65.65 ,36.02 ,907.9636 ,76.22
15:40:55.426 33.63 ,910.7767 ,66.00 ,36.02 ,907.9881 ,76.22
15:40:55.433 33.63 ,910.7767 ,66.00 ,36.00 ,907.9666 ,76.22
15:40:55.464 33.63 ,910.7767 ,66.00 ,36.00 ,907.9666 ,76.22
15:40:55.508 33.63 ,910.7767 ,66.00 ,36.00 ,907.9666 ,76.22
15:40:55.515 33.66 ,911.0628 ,66.24 ,35.99 ,908.0506 ,76.24
15:40:55.548 33.66 ,911.0628 ,66.24 ,35.99 ,908.0506 ,76.24
15:40:55.598 33.66 ,911.0628 ,66.24 ,35.99 ,908.0506 ,76.24
15:40:55.603 33.66 ,911.0628 ,66.24 ,35.98 ,907.8892 ,76.16
15:40:55.635 33.69 ,911.4214 ,66.30 ,35.98 ,907.8892 ,76.16
15:40:55.677 33.69 ,911.4214 ,66.30 ,35.98 ,907.8892 ,76.16
15:40:55.684 33.69 ,911.4214 ,66.36 ,35.98 ,907.9294 ,76.32
15:40:55.718 33.71 ,911.5209 ,66.36 ,35.97 ,907.9189 ,76.32
15:40:55.757 33.71 ,911.5209 ,66.36 ,35.97 ,907.9189 ,76.32
15:40:55.762 33.71 ,911.5209 ,66.36 ,35.97 ,907.9189 ,76.32
15:40:55.799 33.72 ,911.4238 ,66.37 ,35.97 ,907.9189 ,76.46
15:40:55.846 33.72 ,911.4238 ,66.37 ,36.00 ,908.0751 ,76.47
15:40:55.851 33.72 ,911.4238 ,66.37 ,36.00 ,908.0751 ,76.47
15:40:55.888 33.73 ,908.7250 ,65.93 ,36.00 ,908.0751 ,76.47
15:40:55.929 33.73 ,908.7250 ,65.93 ,36.02 ,908.0267 ,76.65
15:40:55.962 33.73 ,908.7250 ,65.93 ,36.02 ,908.0267 ,76.65
15:40:56.008 33.73 ,908.7250 ,65.93 ,36.02 ,908.0267 ,76.65
15:40:56.017 33.73 ,908.2061 ,64.19 ,36.02 ,908.0267 ,76.82
15:40:56.052 33.73 ,908.2061 ,64.19 ,36.03 ,907.8113 ,76.82
15:40:56.092 33.73 ,908.2061 ,64.19 ,36.03 ,907.8113 ,76.82
15:40:56.097 33.67 ,908.2352 ,62.90 ,36.03 ,908.2660 ,77.08
15:40:56.130 33.67 ,908.2352 ,62.90 ,36.01 ,908.2660 ,77.08
15:40:56.240 33.67 ,908.2352 ,62.90 ,36.01 ,908.2660 ,77.08
15:40:56.305 33.67 ,908.2352 ,62.90 ,36.01 ,908.2940 ,77.35
15:40:56.309 33.59 ,908.2335 ,62.75 ,35.99 ,908.2940 ,77.35
15:40:56.315 33.59 ,908.2335 ,63.61 ,36.00 ,908.2555 ,77.75
15:40:56.332 33.52 ,908.2230 ,63.61 ,36.00 ,908.2555 ,77.75
15:40:56.426 33.52 ,908.2230 ,63.61 ,36.00 ,908.2555 ,77.75
15:40:56.434 33.48 ,908.2117 ,64.74 ,36.00 ,908.2333 ,78.10
15:40:56.484 33.48 ,908.2117 ,64.74 ,36.03 ,908.2333 ,78.10
15:40:56.489 33.47 ,908.2112 ,65.95 ,36.03 ,908.2333 ,78.10
15:40:56.498 33.47 ,908.2112 ,65.95 ,36.09 ,908.2463 ,78.48
15:40:56.530 33.47 ,908.2112 ,65.95 ,36.09 ,908.2463 ,78.48
15:40:56.572 33.47 ,908.2112 ,65.95 ,36.09 ,908.2463 ,78.48
15:40:56.580 33.47 ,908.2112 ,65.95 ,36.09 ,908.2463 ,78.83
15:40:56.613 33.48 ,908.1833 ,67.03 ,36.16 ,908.2277 ,78.83
15:40:56.655 33.48 ,908.1833 ,67.03 ,36.16 ,908.2277 ,78.83
15:40:56.663 33.48 ,908.1833 ,67.03 ,36.16 ,908.2277 ,78.83
15:40:56.695 33.50 ,908.2050 ,67.94 ,36.23 ,908.2565 ,79.12
15:40:56.738 33.50 ,908.2050 ,67.94 ,36.23 ,908.2565 ,79.12
15:40:56.746 33.50 ,908.2050 ,67.94 ,36.23 ,908.2565 ,79.12
15:40:56.778 33.52 ,908.2266 ,68.76 ,36.23 ,908.2565 ,79.12
15:40:56.821 33.52 ,908.2266 ,68.76 ,36.29 ,908.2537 ,79.24
15:40:56.827 33.52 ,908.2266 ,68.76 ,36.29 ,908.2537 ,79.24
15:40:56.862 33.52 ,908.2266 ,69.50 ,36.29 ,908.2537 ,79.24
15:40:56.905 33.54 ,908.2219 ,69.50 ,36.29 ,908.2537 ,79.24
15:40:56.911 33.54 ,908.2219 ,69.50 ,36.35 ,908.2543 ,79.34
15:40:56.944 33.54 ,908.2219 ,69.50 ,36.35 ,908.2543 ,79.34
15:40:56.993 33.56 ,908.2150 ,70.10 ,36.35 ,908.2543 ,79.34
15:40:56.999 33.56 ,908.2150 ,70.10 ,36.40 ,908.2564 ,79.45
15:40:57.035 33.56 ,908.2150 ,70.10 ,36.40 ,908.2564 ,79.45
15:40:57.073 33.56 ,908.2150 ,70.10 ,36.40 ,908.2564 ,79.45
15:40:57.077 33.57 ,908.2241 ,70.43 ,36.45 ,908.2658 ,79.46
15:40:57.114 33.57 ,908.2241 ,70.43 ,36.45 ,908.2658 ,79.46
15:40:57.145 33.57 ,908.2241 ,70.43 ,36.45 ,908.2658 ,79.46
15:40:57.150 33.57 ,908.2241 ,70.68 ,36.45 ,908.2658 ,79.46
15:40:57.187 33.58 ,908.1962 ,70.68 ,36.45 ,908.2658 ,79.48
15:40:57.230 33.58 ,908.1962 ,70.68 ,36.50 ,908.2439 ,79.49
15:40:57.235 33.58 ,908.1962 ,71.04 ,36.50 ,908.2439 ,79.49
